board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
5,BB_BB19b_2,BB,BB19b,BB19_Caja_Bot_Der_Frente_Trasera,1779,316,593,183,590,180,0,Sin canto
5,BB_BB16a_1,BB,BB16a,BB16_Caja_Mid_Izq_Lateral,0,499,503,183,500,180,0,Sin canto
5,BB_BB16a_2,BB,BB16a,BB16_Caja_Mid_Izq_Lateral,503,499,503,183,500,180,0,Sin canto
5,BB_BB17a_1,BB,BB17a,BB17_Caja_Mid_Der_Lateral,1006,499,503,183,500,180,0,Sin canto
5,BB_BB17a_2,BB,BB17a,BB17_Caja_Mid_Der_Lateral,1509,499,503,183,500,180,0,Sin canto
5,BB_BB18a_1,BB,BB18a,BB18_Caja_Bot_Izq_Lateral,2012,499,503,183,500,180,0,Sin canto
5,BB_BB18a_2,BB,BB18a,BB18_Caja_Bot_Izq_Lateral,0,682,503,183,500,180,0,Sin canto
5,BB_BB19a_1,BB,BB19a,BB19_Caja_Bot_Der_Lateral,503,682,503,183,500,180,0,Sin canto
5,BB_BB19a_2,BB,BB19a,BB19_Caja_Bot_Der_Lateral,1006,682,503,183,500,180,0,Sin canto
5,AA_AA10_1,AA,AA10,Liston_Fijo_90,1509,682,888,93,885,90,0,4 cantos
5,AA_AA5_1,AA,AA5,Travesano_Sup,0,865,870,63,867,60,0,Sin canto
5,AA_AA6_1,AA,AA6,Travesano_Inf,870,865,870,63,867,60,0,Sin canto
5,H_H15_1,H,H15,Liston_Vert_Izq,1740,865,602,63,599,60,0,Canto frente
5,BB_BB14b_1,BB,BB14b,BB14_Caja_Top_Izq_Frente_Trasera,0,928,593,83,590,80,0,Sin canto
5,BB_BB14b_2,BB,BB14b,BB14_Caja_Top_Izq_Frente_Trasera,593,928,593,83,590,80,0,Sin canto
5,BB_BB15b_1,BB,BB15b,BB15_Caja_Top_Der_Frente_Trasera,1186,928,593,83,590,80,0,Sin canto
5,BB_BB15b_2,BB,BB15b,BB15_Caja_Top_Der_Frente_Trasera,1779,928,593,83,590,80,0,Sin canto
5,BB_BB14a_1,BB,BB14a,BB14_Caja_Top_Izq_Lateral,0,1011,503,83,500,80,0,Sin canto
5,BB_BB14a_2,BB,BB14a,BB14_Caja_Top_Izq_Lateral,503,1011,503,83,500,80,0,Sin canto
5,BB_BB15a_1,BB,BB15a,BB15_Caja_Top_Der_Lateral,1006,1011,503,83,500,80,0,Sin canto
5,BB_BB15a_2,BB,BB15a,BB15_Caja_Top_Der_Lateral,1509,1011,503,83,500,80,0,Sin canto
5,H_H16_1,H,H16,Liston_Vert_Der,0,1094,602,63,599,60,0,Canto frente
5,H_H9_1,H,H9,Faja_Frontal_50,602,1094,639,53,636,50,0,Cantos vistos
5,H_H12_1,H,H12,Faja_Frontal_Inferior_50,1241,1094,639,53,636,50,0,Cantos vistos
5,H_H13_1,H,H13,Faja_Frontal_Superior_Micro_50,1880,1094,639,53,636,50,0,Cantos vistos
