board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
6,BA_BA2_1,BA,BA2,Lateral_Der,0,653,757,603,754,600,0,Canto frente
6,BB_BB1_1,BB,BB1,Lateral_Izq,757,653,757,603,754,600,0,Canto frente
6,BB_BB2_1,BB,BB2,Lateral_Der,1514,653,757,603,754,600,0,Canto frente
6,AB_AB1_1,AB,AB1,AB_Lateral_Izq,2271,653,458,323,455,320,0,Canto frente
6,AB_AB3_1,AB,AB3,AB_Piso,0,1256,1358,323,1355,320,0,Canto frente
6,AB_AB4_1,AB,AB4,AB_Tapa,1358,1256,1358,323,1355,320,0,Canto frente
6,L_L16_1,L,L16,Parante_Rear_Der,0,1579,2205,153,2202,150,0,Sin canto
6,BB_BB15b_2,BB,BB15b,BB15_Caja_Top_Der_Frente_Trasera,2205,1579,593,83,590,80,0,Sin canto
6,L_L7_1,L,L7,Regrueso_Techo_Lav,0,1732,633,63,630,60,0,Cantos vistos
6,H_H15_1,H,H15,Liston_Vert_Izq,633,1732,602,63,599,60,0,Canto frente
6,H_H16_1,H,H16,Liston_Vert_Der,1235,1732,602,63,599,60,0,Canto frente
6,F_F20_1,F,F20,Regrueso_Sobre_F9,1837,1732,711,53,708,50,0,Canto frente
7,BB_BB7_1,BB,BB7,Divisor_Central,0,0,757,582,754,579,0,Sin canto
7,I_I17_1,I,I17,Frente_Lavavajillas,757,0,742,540,537,739,1,4 cantos
7,I_I18_1,I,I18,Puerta_Der,1499,0,742,540,537,739,1,4 cantos
7,AB_AB2_1,AB,AB2,AB_Lateral_Der,2241,0,458,323,455,320,0,Canto frente
7,H_H10_1,H,H10,Puerta_Inferior,0,582,657,641,654,638,0,4 cantos
7,H_H3_1,H,H3,Piso_Casco,657,582,675,603,672,600,0,Canto frente
7,H_H4_1,H,H4,Tapa_Casco,1332,582,675,603,672,600,0,Canto frente
7,I_I6_1,I,I6,Piso_Der,2007,582,653,622,619,650,1,Canto frente
7,H_H5_1,H,H5,Piso_Horno,0,1223,639,585,636,582,0,Canto frente
7,H_H6_1,H,H6,Piso_Micro,639,1223,639,585,636,582,0,Canto frente
7,I_I1B_1,I,I1B,Fondo_Modulo_Izq,1278,1223,775,451,772,448,0,Canto frente
7,H_H11_1,H,H11,Puerta_Superior,2053,1223,657,476,654,473,0,4 cantos
8,H_H8_1,H,H8,Estante_Inferior,0,0,639,603,636,600,0,Canto frente
8,F_F13_1,F,F13,Puerta_Mod_Der,639,0,880,372,369,877,1,4 cantos
8,AA_AA8_1,AA,AA8,Frente_Izquierdo,1519,0,695,445,442,692,1,4 cantos
8,I_I15_1,I,I15,Frente_Cajon_Med_Izq,2214,0,451,240,448,237,0,4 cantos
8,F_F26_1,F,F26,Frente_Cajon_Superior,0,603,2287,143,2284,140,0,4 cantos
8,BB_BB14a_2,BB,BB14a,BB14_Caja_Top_Izq_Lateral,2287,603,503,83,500,80,0,Sin canto
8,AA_AA9_1,AA,AA9,Frente_Derecho,0,746,695,445,442,692,1,4 cantos
8,AA_AA3_1,AA,AA3,Piso_Casco_Calados,695,746,906,323,903,320,0,Canto frente
8,AA_AA4_1,AA,AA4,Tapa_Casco_Calados_IzqDer160,1601,746,906,323,903,320,0,Canto frente
8,I_I20b_1,I,I20b,I20_Cajon_Med_Frente_Trasera,2507,746,173,372,369,170,1,Sin canto
8,I_I5_1,I,I5,Piso_Izq,0,1191,653,469,466,650,1,Canto frente
8,BA_BA10_1,BA,BA10,Frente_Mid_Ancho_Completo,653,1191,895,318,892,315,0,4 cantos
8,BA_BA11_1,BA,BA11,Frente_Bot_Ancho_Completo,1548,1191,895,318,892,315,0,4 cantos
8,I_I20b_2,I,I20b,I20_Cajon_Med_Frente_Trasera,2443,1191,173,372,369,170,1,Sin canto
8,I_I21b_1,I,I21b,I21_Cajon_Inf_Frente_Trasera,2616,1191,173,372,369,170,1,Sin canto
8,I_I9_1,I,I9,Soporte_Sup_Frente,0,1660,1507,103,1504,100,0,Canto frente
8,I_I10_1,I,I10,Soporte_Sup_Fondo,1507,1660,1077,103,1074,100,0,Sin canto
9,AA_AA1_1,AA,AA1,Lateral_Izq,0,0,677,323,674,320,0,Canto frente
9,AA_AA2_1,AA,AA2,Lateral_Der,677,0,677,323,674,320,0,Canto frente
9,BB_BB10_1,BB,BB10,Frente_Mid,1354,0,673,318,670,315,0,4 cantos
9,BB_BB10_2,BB,BB10,Frente_Mid,2027,0,673,318,670,315,0,4 cantos
9,BB_BB12_1,BB,BB12,Frente_Bot,0,323,673,318,670,315,0,4 cantos
9,BB_BB12_2,BB,BB12,Frente_Bot,673,323,673,318,670,315,0,4 cantos
