board_idx,uid,module,code,name,x_mm,y_mm,cut_w_mm,cut_h_mm,part_w_mm,part_h_mm,rotated,cantos
8,R_R8_1,R,R8,Puerta_Izq,1643,0,767,393,390,764,1,4 cantos
8,I_I19b_1,I,I19b,I19_Cajon_Sup_Frente_Trasera,2410,0,372,173,369,170,0,Sin canto
8,F_F26_1,F,F26,Frente_Cajon_Superior,0,445,2305,143,2302,140,0,4 cantos
8,I_I8B_1,I,I8B,Faja_Superior_Nicho,2305,445,291,53,288,50,0,Canto frente
8,I_I5_1,I,I5,Piso_Izq,0,588,653,469,466,650,1,Canto frente
8,R_R9_1,R,R9,Puerta_Der,653,588,767,393,390,764,1,4 cantos
8,AA_AA8_1,AA,AA8,Frente_Izquierdo,1420,588,660,445,442,657,1,4 cantos
8,AA_AA9_1,AA,AA9,Frente_Derecho,2080,588,660,445,442,657,1,4 cantos
8,AA_AA3_1,AA,AA3,Piso_Casco_Calados,0,1057,906,323,903,320,0,Canto frente
8,AA_AA4_1,AA,AA4,Tapa_Casco_Calados_IzqDer160,906,1057,906,323,903,320,0,Canto frente
8,BA_BA10_1,BA,BA10,Frente_Mid_Ancho_Completo,1812,1057,895,296,892,293,0,4 cantos
8,I_I1_1,I,I1,Lateral_Izq_Frente,0,1380,775,345,772,342,0,Canto frente
8,BA_BA11_1,BA,BA11,Frente_Bot_Ancho_Completo,775,1380,895,296,892,293,0,4 cantos
8,F_F3_1,F,F3,Piso_Modular,1670,1380,747,303,744,300,0,Canto frente
8,I_I19b_2,I,I19b,I19_Cajon_Sup_Frente_Trasera,2417,1380,372,173,369,170,0,Sin canto
8,F_F20_1,F,F20,Regrueso_Sobre_F9,0,1725,711,53,708,50,0,Canto frente
8,F_F16_1,F,F16,Regrueso_Front_Estante_Sup_1,711,1725,695,53,692,50,0,Canto frente
8,F_F17_1,F,F17,Regrueso_Front_Estante_Sup_2,1406,1725,695,53,692,50,0,Canto frente
8,H_H9_1,H,H9,Faja_Frontal_50,2101,1725,639,53,636,50,0,Cantos vistos
9,AA_AA2_1,AA,AA2,Lateral_Der,0,0,677,323,674,320,0,Canto frente
9,F_F7_1,F,F7,Estante_Bajo,677,0,711,285,708,282,0,Canto frente
9,F_F9_1,F,F9,Estante_Fijo_Interior,1388,0,711,285,708,282,0,Canto frente
9,BB_BB10_1,BB,BB10,Frente_Mid,2099,0,673,296,670,293,0,4 cantos
9,BB_BB10_2,BB,BB10,Frente_Mid,0,323,673,296,670,293,0,4 cantos
9,BB_BB12_1,BB,BB12,Frente_Bot,673,323,673,296,670,293,0,4 cantos
9,BB_BB12_2,BB,BB12,Frente_Bot,1346,323,673,296,670,293,0,4 cantos
9,F_F10_1,F,F10,Estante_Sup_1,2019,323,695,265,692,262,0,Canto frente
9,F_F11_1,F,F11,Estante_Sup_2,0,619,695,265,692,262,0,Canto frente
9,BA_BA14b_1,BA,BA14b,BA14_Caja_Mid_Frente_Trasera,695,619,809,183,806,180,0,Sin canto
9,BA_BA14b_2,BA,BA14b,BA14_Caja_Mid_Frente_Trasera,1504,619,809,183,806,180,0,Sin canto
9,I_I20b_1,I,I20b,I20_Cajon_Med_Frente_Trasera,2313,619,372,173,369,170,0,Sin canto
9,BA_BA15b_1,BA,BA15b,BA15_Caja_Bot_Frente_Trasera,0,884,809,183,806,180,0,Sin canto
9,BA_BA15b_2,BA,BA15b,BA15_Caja_Bot_Frente_Trasera,809,884,809,183,806,180,0,Sin canto
9,BA_BA9_1,BA,BA9,Frente_Falso_Sup,1618,884,895,142,892,139,0,4 cantos
9,AB_AB2_1,AB,AB2,AB_Lateral_Der,0,1067,458,323,455,320,0,Canto frente
9,BB_BB5_1,BB,BB5,Soporte_Sup_Frente,458,1067,1322,103,1319,100,0,Canto frente
9,BB_BB16b_1,BB,BB16b,BB16_Caja_Mid_Izq_Frente_Trasera,1780,1067,592,183,589,180,0,Sin canto
9,I_I20b_2,I,I20b,I20_Cajon_Med_Frente_Trasera,2372,1067,372,173,369,170,0,Sin canto
9,BB_BB6_1,BB,BB6,Soporte_Sup_Fondo,0,1390,1322,103,1319,100,0,Sin canto
9,BA_BA5_1,BA,BA5,Soporte_Sup_Frente,1322,1390,870,103,867,100,0,Canto frente
9,BB_BB14a_1,BB,BB14a,BB14_Caja_Top_Izq_Lateral,2192,1390,503,63,500,60,0,Sin canto
9,BB_BB16b_2,BB,BB16b,BB16_Caja_Mid_Izq_Frente_Trasera,0,1493,592,183,589,180,0,Sin canto
